polarity,todotask,correct,total_time,audio_path,response,time_taken
neutral,word,HOUSE,1.2,pilot_study_data/3/audios/neutral_0_word.wav, House.,1.2
neutral,word,CAT,1.2,pilot_study_data/3/audios/neutral_1_word.wav, God.,0.58
neutral,word,BALL,1.2,pilot_study_data/3/audios/neutral_2_word.wav, board,0.62
neutral,word,TABLE,1.2,pilot_study_data/3/audios/neutral_3_word.wav,�左,0.71
neutral,word,ROCK,1.2,pilot_study_data/3/audios/neutral_4_word.wav, Rock!,0.615
neutral,word,TREE,1.2,pilot_study_data/3/audios/neutral_5_word.wav, G.,0.6599999999999999
neutral,word,BOOK,1.2,pilot_study_data/3/audios/neutral_6_word.wav, book.,0.39
neutral,word,ROPE,1.2,pilot_study_data/3/audios/neutral_7_word.wav, Rob.,0.675
neutral,word,FISH,1.2,pilot_study_data/3/audios/neutral_8_word.wav, Fish,0.58
neutral,word,BABY,1.2,pilot_study_data/3/audios/neutral_9_word.wav, Baby?,0.73
neutral,word,SPOON,1.2,pilot_study_data/3/audios/neutral_10_word.wav, J playback,0.71
neutral,word,GUN,1.2,pilot_study_data/3/audios/neutral_11_word.wav, Good.,0.68
neutral,color,BLUE,1.2,pilot_study_data/3/audios/neutral_0_color.wav,,1.2
neutral,color,GREEN,1.2,pilot_study_data/3/audios/neutral_1_color.wav, Green.,0.87
neutral,color,YELLOW,1.2,pilot_study_data/3/audios/neutral_2_color.wav, and,0.905
neutral,color,BLUE,1.2,pilot_study_data/3/audios/neutral_3_color.wav, Bill?,0.92
neutral,color,RED,1.2,pilot_study_data/3/audios/neutral_4_color.wav, Lol,0.9
neutral,color,YELLOW,1.2,pilot_study_data/3/audios/neutral_5_color.wav, good bye.,1.2
neutral,color,GREEN,1.2,pilot_study_data/3/audios/neutral_6_color.wav, Green.,0.78
neutral,color,BLUE,1.2,pilot_study_data/3/audios/neutral_7_color.wav, blue,0.995
neutral,color,GREEN,1.2,pilot_study_data/3/audios/neutral_8_color.wav, Green.,0.86
neutral,color,RED,1.2,pilot_study_data/3/audios/neutral_9_color.wav, Red,0.855
neutral,color,YELLOW,1.2,pilot_study_data/3/audios/neutral_10_color.wav, Yeah.,0.985
neutral,color,RED,1.2,pilot_study_data/3/audios/neutral_11_color.wav, bed,0.9249999999999999
congruent,word,GREEN,1.2,pilot_study_data/3/audios/congruent_0_word.wav,,1.2
congruent,word,YELLOW,1.2,pilot_study_data/3/audios/congruent_1_word.wav, yeah,0.7250000000000001
congruent,word,GREEN,1.2,pilot_study_data/3/audios/congruent_2_word.wav,,0.6900000000000001
congruent,word,RED,1.2,pilot_study_data/3/audios/congruent_3_word.wav, read,0.615
congruent,word,RED,1.2,pilot_study_data/3/audios/congruent_4_word.wav, Red,0.57
congruent,word,GREEN,1.2,pilot_study_data/3/audios/congruent_5_word.wav, Green.,0.635
congruent,word,BLUE,1.2,pilot_study_data/3/audios/congruent_6_word.wav, real,0.62
congruent,word,YELLOW,1.2,pilot_study_data/3/audios/congruent_7_word.wav, Yalu,0.655
congruent,word,BLUE,1.2,pilot_study_data/3/audios/congruent_8_word.wav, BLUM,0.64
congruent,word,YELLOW,1.2,pilot_study_data/3/audios/congruent_9_word.wav, Yellow.,0.645
congruent,word,BLUE,1.2,pilot_study_data/3/audios/congruent_10_word.wav, Illusion south,0.635
congruent,word,RED,1.2,pilot_study_data/3/audios/congruent_11_word.wav, RAIN!,0.59
congruent,color,GREEN,1.2,pilot_study_data/3/audios/congruent_0_color.wav,,1.01
congruent,color,YELLOW,1.2,pilot_study_data/3/audios/congruent_1_color.wav, yellow,0.79
congruent,color,GREEN,1.2,pilot_study_data/3/audios/congruent_2_color.wav,,0.6799999999999999
congruent,color,RED,1.2,pilot_study_data/3/audios/congruent_3_color.wav, dead.,0.685
congruent,color,RED,1.2,pilot_study_data/3/audios/congruent_4_color.wav,abbed,0.6599999999999999
congruent,color,GREEN,1.2,pilot_study_data/3/audios/congruent_5_color.wav, Green.,0.7849999999999999
