polarity,todotask,correct,total_time,audio_path,response,time_taken
neutral,word,HOUSE,1.2,pilot_study_data/2/audios/neutral_0_word.wav, House,0.745
neutral,word,CAT,1.2,pilot_study_data/2/audios/neutral_1_word.wav, Get.,0.575
neutral,word,BALL,1.2,pilot_study_data/2/audios/neutral_2_word.wav, ball,0.615
neutral,word,TABLE,1.2,pilot_study_data/2/audios/neutral_3_word.wav, table,0.74
neutral,word,ROCK,1.2,pilot_study_data/2/audios/neutral_4_word.wav, Rock.,0.585
neutral,word,TREE,1.2,pilot_study_data/2/audios/neutral_5_word.wav, 3,0.605
neutral,word,BOOK,1.2,pilot_study_data/2/audios/neutral_6_word.wav, Mook.,0.55
neutral,word,ROPE,1.2,pilot_study_data/2/audios/neutral_7_word.wav, group,0.615
neutral,word,FISH,1.2,pilot_study_data/2/audios/neutral_8_word.wav, fish,0.735
neutral,word,BABY,1.2,pilot_study_data/2/audios/neutral_9_word.wav, Baby.,0.73
neutral,word,SPOON,1.2,pilot_study_data/2/audios/neutral_10_word.wav, Spoon.,0.73
neutral,word,GUN,1.2,pilot_study_data/2/audios/neutral_11_word.wav, Gun.,0.64
neutral,color,BLUE,1.2,pilot_study_data/2/audios/neutral_0_color.wav, blue,0.95
neutral,color,GREEN,1.2,pilot_study_data/2/audios/neutral_1_color.wav, Green.,1.2
neutral,color,YELLOW,1.2,pilot_study_data/2/audios/neutral_2_color.wav, yellow,1.2
neutral,color,BLUE,1.2,pilot_study_data/2/audios/neutral_3_color.wav, Blue.,0.87
neutral,color,RED,1.2,pilot_study_data/2/audios/neutral_4_color.wav, Great.,0.835
neutral,color,YELLOW,1.2,pilot_study_data/2/audios/neutral_5_color.wav, yellow,1.2
neutral,color,GREEN,1.2,pilot_study_data/2/audios/neutral_6_color.wav, Green.,1.015
neutral,color,BLUE,1.2,pilot_study_data/2/audios/neutral_7_color.wav, blue,1.2
neutral,color,GREEN,1.2,pilot_study_data/2/audios/neutral_8_color.wav, Green.,1.2
neutral,color,RED,1.2,pilot_study_data/2/audios/neutral_9_color.wav, Head,1.2
neutral,color,YELLOW,1.2,pilot_study_data/2/audios/neutral_10_color.wav,мерith Y harsh,1.2
